AP_Rnk,PS_Rnk,KP_Rank,TournamentYear,TeamID,TS_Team,Auto Bid,KP_Conference,TS_GP,STA_W,STA_L,STA_Pct,STA_Conf_W,STA_Conf_L,STA_Conf_Pct,STA_Home_W,STA_Home_L,STA_Away_W,STA_Away_L,STA_Neutral_W,STA_Neutral_L,STA_Top25_W,STA_Top25_L,STA_Conf_PF,STA_Conf_PA,STA_Conf_PPG,STA_Conf_PAPG,STA_PF,STA_PA,STA_PPG,STA_PAPG,TS_FGM,TS_FGA,TS_FG%,TS_3PM,TS_3PA,TS_3P%,TS_FTM,TS_FTA,TS_FT%,KP_Ajusted Efficiency Margin,KP_Adjusted Offensive Efficiency,KP_AOE Rk,KP_Adjusted Defensive Efficiency,KP_ADE Rk,KP_Adjusted Tempo,KP_AT Rk,KP_Luck,KP_Luck Rk,KP_Strength of Schedule,KP_SOS Rk,KP_Non-Conference Strength of Schedule,KP_NCSOS Rk,KP_Average Opponents Offensive Efficiency,KP_AOOE Rk,KP_Average Opponents Defensive Efficiency,KP_AODE Rk,Round,Round Number,Team,Seed,PF**,Opp_AP_Rnk,Opp_PS_Rnk,Opp_KP_Rank,OppTeamID,Opp_TS_Team,Opp_KP_Conference,Opp_TS_GP,Opp_STA_W,Opp_STA_L,Opp_STA_Pct,Opp_STA_Conf_W,Opp_STA_Conf_L,Opp_STA_Conf_Pct,Opp_STA_Home_W,Opp_STA_Home_L,Opp_STA_Away_W,Opp_STA_Away_L,Opp_STA_Neutral_W,Opp_STA_Neutral_L,Opp_STA_Top25_W,Opp_STA_Top25_L,Opp_STA_Conf_PF,Opp_STA_Conf_PA,Opp_STA_Conf_PPG,Opp_STA_Conf_PAPG,Opp_STA_PF,Opp_STA_PA,Opp_STA_PPG,Opp_STA_PAPG,Opp_TS_FGM,Opp_TS_FGA,Opp_TS_FG%,Opp_TS_3PM,Opp_TS_3PA,Opp_TS_3P%,Opp_TS_FTM,Opp_TS_FTA,Opp_TS_FT%,Opp_KP_Ajusted Efficiency Margin,Opp_KP_Adjusted Offensive Efficiency,Opp_KP AOW Rk,Opp_KP_Adjusted Defensive Efficiency,Opp_KP_ADE Rk,Opp_KP_Adjusted Tempo,Opp_KP_AT Rk,Opp_KP_Luck,Opp_KP_Luck_Rk,Opp_KP_Strength of Schedule,Opp_KP_SOS Rk,Opp_KP_Non-Conference Strength of Schedule,Opp_KP_NCSOS Rk,Opp_KP_Average Opponents Offensive Efficiency,Opp_KP_AOOE Rk,Opp_KP_Average Opponents Defensive Efficiency,Opp_KP_AODE Rk,OppTeam,OppSeed,GameID
5,,8,2021,5,Alabama,1,SEC,30.00,24.00,6.00,0.8,16.00,2.00,0.889,12.00,1.00,7.00,3.00,5.00,2.00,1.00,3.00,1474.00,1262.00,81.9,70.1,2387.00,2093.00,79.6,69.8,834.00,1937.00,0.431,320.00,912.00,0.351,399.00,554.00,0.72,26.42,112.4,34,86,2,73.9,9,0.031,107,14.2,27,8.88,70,109.7,28,95.5,32,Sweet Sixteen,3,Alabama,2,78,,22,44,44,UCLA,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,UCLA,11,54
3,2,4,2021,2,Baylor,0,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Sweet Sixteen,3,Baylor,1,62,18,3,12,18,Villanova,Big East,22.00,16.00,6.00,0.727,11.00,4.00,0.733,9.00,0.00,4.00,4.00,3.00,2.00,3.00,1.00,1116.00,998.00,74.4,66.5,1662.00,1477.00,75.5,67.1,581.00,1291.00,0.45,203.00,576.00,0.352,297.00,388.00,0.765,24.05,119.3,9,95.3,68,65.1,320,-0.006,196,12.99,41,7.33,91,108.8,44,95.9,41,Villanova,5,55
18,3,12,2021,18,Villanova,0,Big East,22.00,16.00,6.00,0.727,11.00,4.00,0.733,9.00,0.00,4.00,4.00,3.00,2.00,3.00,1.00,1116.00,998.00,74.4,66.5,1662.00,1477.00,75.5,67.1,581.00,1291.00,0.45,203.00,576.00,0.352,297.00,388.00,0.765,24.05,119.3,9,95.3,68,65.1,320,-0.006,196,12.99,41,7.33,91,108.8,44,95.9,41,Sweet Sixteen,3,Villanova,5,51,3,2,4,2,Baylor,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Baylor,1,55
10,,18,2021,9,Arkansas,0,SEC,28.00,22.00,6.00,0.786,13.00,4.00,0.765,16.00,1.00,5.00,4.00,1.00,1.00,2.00,2.00,1369.00,1263.00,80.5,74.3,2307.00,1979.00,82.4,70.7,825.00,1814.00,0.455,220.00,649.00,0.339,437.00,593.00,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,Sweet Sixteen,3,Arkansas,3,72,,,152,61,Oral Roberts,Summit League,26.00,16.00,10.00,0.615,10.00,5.00,0.667,8.00,3.00,5.00,7.00,3.00,0.00,0.00,0.00,1222.00,1134.00,81.5,75.6,2126.00,1970.00,81.8,75.8,734.00,1617.00,0.454,294.00,754.00,0.39,364.00,442.00,0.824,2.64,109.4,74,106.7,285,71.8,47,0.013,147,0.01,177,21.34,4,102.9,173,102.8,206,Oral Roberts,15,56
,,152,2021,61,Oral Roberts,1,Summit League,26.00,16.00,10.00,0.615,10.00,5.00,0.667,8.00,3.00,5.00,7.00,3.00,0.00,0.00,0.00,1222.00,1134.00,81.5,75.6,2126.00,1970.00,81.8,75.8,734.00,1617.00,0.454,294.00,754.00,0.39,364.00,442.00,0.824,2.64,109.4,74,106.7,285,71.8,47,0.013,147,0.01,177,21.34,4,102.9,173,102.8,206,Sweet Sixteen,3,Oral Roberts,15,70,10,,18,9,Arkansas,SEC,28.00,22.00,6.00,0.786,13.00,4.00,0.765,16.00,1.00,5.00,4.00,1.00,1.00,2.00,2.00,1369.00,1263.00,80.5,74.3,2307.00,1979.00,82.4,70.7,825.00,1814.00,0.455,220.00,649.00,0.339,437.00,593.00,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,Arkansas,3,56
17,,9,2021,30,Loyola-Chicago,1,Missouri Valley,28.00,24.00,4.00,0.857,16.00,2.00,0.889,13.00,0.00,8.00,3.00,3.00,1.00,0.00,1.00,1263.00,971.00,70.2,53.9,2002.00,1555.00,71.5,55.5,735.00,1456.00,0.505,201.00,546.00,0.368,331.00,458.00,0.723,25.18,111.1,49,85.9,1,64.2,342,-0.02,226,4.11,134,4.7,129,104.3,136,100.2,136,Sweet Sixteen,3,Loyola-Chicago,8,58,,,85,46,Oregon State,Pac-12,29.00,17.00,12.00,0.586,10.00,10.00,0.5,10.00,6.00,4.00,6.00,3.00,0.00,2.00,1.00,1337.00,1379.00,66.9,69,2049.00,1981.00,70.7,68.3,712.00,1638.00,0.435,203.00,575.00,0.353,422.00,557.00,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,Oregon State,12,57
,,85,2021,46,Oregon State,1,Pac-12,29.00,17.00,12.00,0.586,10.00,10.00,0.5,10.00,6.00,4.00,6.00,3.00,0.00,2.00,1.00,1337.00,1379.00,66.9,69,2049.00,1981.00,70.7,68.3,712.00,1638.00,0.435,203.00,575.00,0.353,422.00,557.00,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,Sweet Sixteen,3,Oregon State,12,65,17,,9,30,Loyola-Chicago,Missouri Valley,28.00,24.00,4.00,0.857,16.00,2.00,0.889,13.00,0.00,8.00,3.00,3.00,1.00,0.00,1.00,1263.00,971.00,70.2,53.9,2002.00,1555.00,71.5,55.5,735.00,1456.00,0.505,201.00,546.00,0.368,331.00,458.00,0.723,25.18,111.1,49,85.9,1,64.2,342,-0.02,226,4.11,134,4.7,129,104.3,136,100.2,136,Loyola-Chicago,8,57
,,41,2021,41,Syracuse,0,ACC,25.00,16.00,9.00,0.64,9.00,7.00,0.563,13.00,1.00,2.00,7.00,1.00,1.00,1.00,3.00,1179.00,1147.00,73.7,71.7,1896.00,1768.00,75.8,70.7,676.00,1533.00,0.441,203.00,598.00,0.339,341.00,435.00,0.784,17.66,114.5,22,96.9,89,69.2,138,0.017,137,11.66,57,2.46,171,108.5,51,96.8,64,Sweet Sixteen,3,Syracuse,11,46,6,17,6,8,Houston,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Houston,2,58
6,17,6,2021,8,Houston,1,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Sweet Sixteen,3,Houston,2,62,,,41,41,Syracuse,ACC,25.00,16.00,9.00,0.64,9.00,7.00,0.563,13.00,1.00,2.00,7.00,1.00,1.00,1.00,3.00,1179.00,1147.00,73.7,71.7,1896.00,1768.00,75.8,70.7,676.00,1533.00,0.441,203.00,598.00,0.339,341.00,435.00,0.784,17.66,114.5,22,96.9,89,69.2,138,0.017,137,11.66,57,2.46,171,108.5,51,96.8,64,Syracuse,11,58
1,1,1,2021,1,Gonzaga,1,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Elite Eight,4,Gonzaga,1,85,24,,14,21,USC,Pac-12,29.00,22.00,7.00,0.759,15.00,5.00,0.75,13.00,2.00,7.00,3.00,2.00,2.00,1.00,1.00,1455.00,1287.00,72.8,64.4,2168.00,1888.00,74.8,65.1,788.00,1687.00,0.467,183.00,526.00,0.348,409.00,632.00,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,USC,6,59
24,,14,2021,21,USC,0,Pac-12,29.00,22.00,7.00,0.759,15.00,5.00,0.75,13.00,2.00,7.00,3.00,2.00,2.00,1.00,1.00,1455.00,1287.00,72.8,64.4,2168.00,1888.00,74.8,65.1,788.00,1687.00,0.467,183.00,526.00,0.348,409.00,632.00,0.647,23.65,113.6,30,89.9,19,67.3,236,-0.006,194,11.13,64,5.03,128,108.1,57,97,70,Elite Eight,4,USC,6,66,1,1,1,1,Gonzaga,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Gonzaga,1,59
4,25,2,2021,4,Michigan,0,Big Ten,24.00,20.00,4.00,0.833,14.00,3.00,0.824,13.00,1.00,6.00,2.00,1.00,1.00,6.00,3.00,1252.00,1088.00,73.6,64,1830.00,1569.00,76.3,65.4,668.00,1382.00,0.483,181.00,468.00,0.387,311.00,400.00,0.778,32.22,120.1,6,87.9,7,66.8,260,0.026,115,16.87,14,2.99,158,111.3,12,94.5,18,Elite Eight,4,Michigan,1,49,,22,44,44,UCLA,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,UCLA,11,60
,22,44,2021,44,UCLA,0,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,Elite Eight,4,UCLA,11,51,4,25,2,4,Michigan,Big Ten,24.00,20.00,4.00,0.833,14.00,3.00,0.824,13.00,1.00,6.00,2.00,1.00,1.00,6.00,3.00,1252.00,1088.00,73.6,64,1830.00,1569.00,76.3,65.4,668.00,1382.00,0.483,181.00,468.00,0.387,311.00,400.00,0.778,32.22,120.1,6,87.9,7,66.8,260,0.026,115,16.87,14,2.99,158,111.3,12,94.5,18,Michigan,1,60
3,2,4,2021,2,Baylor,0,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Elite Eight,4,Baylor,1,81,10,,18,9,Arkansas,SEC,28.00,22.00,6.00,0.786,13.00,4.00,0.765,16.00,1.00,5.00,4.00,1.00,1.00,2.00,2.00,1369.00,1263.00,80.5,74.3,2307.00,1979.00,82.4,70.7,825.00,1814.00,0.455,220.00,649.00,0.339,437.00,593.00,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,Arkansas,3,61
10,,18,2021,9,Arkansas,0,SEC,28.00,22.00,6.00,0.786,13.00,4.00,0.765,16.00,1.00,5.00,4.00,1.00,1.00,2.00,2.00,1369.00,1263.00,80.5,74.3,2307.00,1979.00,82.4,70.7,825.00,1814.00,0.455,220.00,649.00,0.339,437.00,593.00,0.737,22.96,112.2,35,89.2,14,73.1,17,0.056,57,11.19,60,-5.28,282,108.2,56,97,69,Elite Eight,4,Arkansas,3,72,3,2,4,2,Baylor,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Baylor,1,61
,,85,2021,46,Oregon State,1,Pac-12,29.00,17.00,12.00,0.586,10.00,10.00,0.5,10.00,6.00,4.00,6.00,3.00,0.00,2.00,1.00,1337.00,1379.00,66.9,69,2049.00,1981.00,70.7,68.3,712.00,1638.00,0.435,203.00,575.00,0.353,422.00,557.00,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,Elite Eight,4,Oregon State,12,61,6,17,6,8,Houston,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Houston,2,62
6,17,6,2021,8,Houston,1,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Elite Eight,4,Houston,2,67,,,85,46,Oregon State,Pac-12,29.00,17.00,12.00,0.586,10.00,10.00,0.5,10.00,6.00,4.00,6.00,3.00,0.00,2.00,1.00,1337.00,1379.00,66.9,69,2049.00,1981.00,70.7,68.3,712.00,1638.00,0.435,203.00,575.00,0.353,422.00,557.00,0.758,11.6,110,65,98.4,117,65.4,315,0.075,38,11.16,62,-6.2,292,108.6,49,97.4,80,Oregon State,12,62
1,1,1,2021,1,Gonzaga,1,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Final Four,5,Gonzaga,1,93,,22,44,44,UCLA,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,UCLA,11,63
,22,44,2021,44,UCLA,0,Pac-12,26.00,17.00,9.00,0.654,13.00,6.00,0.684,11.00,1.00,5.00,5.00,1.00,2.00,0.00,1.00,1350.00,1282.00,71.1,67.5,1894.00,1781.00,72.8,68.5,686.00,1485.00,0.462,173.00,471.00,0.367,349.00,484.00,0.721,17.35,114.1,26,96.8,86,64.7,332,0.024,119,11.87,55,9.09,68,108.6,50,96.7,61,Final Four,5,UCLA,11,90,1,1,1,1,Gonzaga,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Gonzaga,1,63
3,2,4,2021,2,Baylor,0,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Final Four,5,Baylor,1,78,6,17,6,8,Houston,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Houston,2,64
6,17,6,2021,8,Houston,1,American,27.00,24.00,3.00,0.889,14.00,3.00,0.824,15.00,0.00,5.00,3.00,4.00,0.00,1.00,0.00,1273.00,1001.00,74.9,58.9,2096.00,1562.00,77.6,57.9,739.00,1664.00,0.444,252.00,699.00,0.361,366.00,494.00,0.741,30.25,119.6,8,89.4,16,64.9,327,-0.009,201,6.57,106,1.63,186,103.7,151,97.1,74,Final Four,5,Houston,2,59,3,2,4,2,Baylor,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Baylor,1,64
1,1,1,2021,1,Gonzaga,1,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Final Four,5,Gonzaga,1,70,3,2,4,2,Baylor,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Baylor,1,65
3,2,4,2021,2,Baylor,0,Big 12,24.00,22.00,2.00,0.917,13.00,1.00,0.929,11.00,0.00,7.00,1.00,4.00,1.00,7.00,2.00,1133.00,942.00,80.9,67.3,2025.00,1594.00,84.4,66.4,746.00,1513.00,0.493,248.00,593.00,0.418,285.00,409.00,0.697,30.93,124,3,93,44,68.4,179,0.05,69,9.57,78,-4.18,270,106.4,90,96.9,66,Final Four,5,Baylor,1,86,1,1,1,1,Gonzaga,WCC,26.00,26.00,0.00,1,15.00,0.00,1,12.00,0.00,7.00,0.00,7.00,0.00,4.00,0.00,1363.00,1002.00,90.9,66.8,2395.00,1797.00,92.1,69.1,888.00,1612.00,0.551,190.00,520.00,0.365,429.00,590.00,0.727,38.05,126.8,1,88.8,10,74.8,4,0.018,136,7.82,94,5.99,106,105.7,100,97.9,96,Gonzaga,1,65
